scope,scope_label,lora_macro,dora_macro,delta,delta_points,task_wins,task_ties,task_losses,best_task,worst_task,mean_task_delta_points,median_task_delta_points,task_delta_std_points
full,Full,0.7740961743,0.7920407819,0.01794460760000005,1.794460760000005,6,1,1,HellaSwag,WinoGrande,1.794460292500001,1.1532271049999987,2.005023663546151
attention_only,Attention only,0.795856038,0.7808873995,-0.014968638500000075,-1.4968638500000075,1,0,7,ARC-Easy,OpenBookQA,-1.4968638525000009,-1.477995474999999,0.9334480873802138
mlp_only,MLP only,0.790451047,0.7919887046,0.0015376576000000197,0.15376576000000197,4,0,4,ARC-Challenge,HellaSwag,0.15376576749999982,-0.33356293500000356,2.350148678521622
