scope,boolq,piqa,social_i_qa,hellaswag,winogrande,ARC-Easy,ARC-Challenge,openbookqa,macro_average
full,0.01253822630000001,0.0005440695999999745,0.0,0.05994818000000002,-0.0007892659999999552,0.010526315799999963,0.036789297700000057,0.02400000000000002,0.01794460760000005
attention_only,-0.007033639199999997,-0.010337323200000026,-0.015353121800000036,-0.019816769499999998,-0.014206787699999945,0.0017543859999999967,-0.026755852800000035,-0.028000000000000025,-0.014968638500000075
mlp_only,0.008562691199999972,-0.015233949900000043,-0.017911975400000002,-0.02370045799999998,0.012628255700000035,0.015789473700000056,0.05016722409999996,-0.018000000000000016,0.0015376576000000197
